時間,発車時刻1,発車時刻2,発車時刻3,発車時刻4,発車時刻5,発車時刻6,発車時刻7,発車時刻8,発車時刻9,発車時刻10,発車時刻11,発車時刻12
8,,,15,▸,▸,▸,▸,▸,▸,50,▸
9,,,20,,,40,,,
10,00,,,,▸,▸,▸,▸,45,▸,▸
11,,05,20,,,,,,,50
12,,,,,25,,,,,▸,▸
13,▸,▸,10,,,,,40,,,
14,00,,,,20,,,40,,▸,▸
15,▸,05,▸,▸,▸,,,,40,,,
16,00,,,,,30,,,50,,,
17,▸,▸,▸,▸,20,,,,40,,,
18,00,,,,20,,,,,,
19,,,,,,,,,,
